source,target,weight
MXJCRDN4,MXJCRTR3,10
MXMETPE1,MXMETPE2,10
ROU13-HBAR01,ROU14-HBAR01,10
BXZFRDN1,BXZFRPI3,10
ROU13-HMAD01,ROU13-HMAD11,10
BITORTR1,VAFORTR2,1
BITORTR1,BUITRAG2,10
BITORTR1,BUITRAG1,10
GRCIRDN2,SEECRTR2,10
ZAPCRAG1,ZAPCRAG2,0.1
BITORTR1,OXGIRDN2,1
MXFUTPE1,MXFUTPE2,10
BXGARCS1,BXGARCS2,10
BXPCRDN1,BXZFRPI3,10
MXFURCS1,MXFURCS2,10
MXJCRDN5,MXJCRDN6,10
MXMERCS1,MXMERCS2,10
MXPARCS1,MXPARCS2,10
MXULRCS1,MXULRCS2,10
TFMARAG1,TFMARAG2,1
TFMARDN1,TFMARDN2,10
MXMERDN1,MXMERPS1,10
MXMERDN2,MXMERPS2,10
ABFGRAG1,ABFGRAG2,1
ABFGRAG1,ABFGRAG2,0.1
IBLIRAG1,IBLIRAG2,1
BXPCRDN1,BXPCRDN2,10
BXZFRDN3,BXZFRDN4,10
BITORTR1,ORPERAG2,10
LEFRRTR2,ORPERAG2,10
BXGARDN1,BXGARPS1,10
BXGARDN2,BXGARPS1,10
MXULRDN1,MXULTPE1,10
MXULRDN2,MXULTPE2,10
BXGARDN1,BXZFRTR3,1
BITORTR1,SSDMRAG2,10
BXEURTR3,SSDMRAG2,10
BITORTR1,SSDMRAG1,10
BITORTR1,SXRURAG2,10
MXJCRTR3,TOEGRAG2,1
MXJCRTR3,VADORDN2,10
MXJCRTR3,VADORDN1,10
MXJCRTR3,MXMERDN2,10
BITORTR1,VIPRRAG2,10
BITORTR1,VIPRRAG1,10
MXJCRTR3,MXMERDN6,1
MXJCRTR3,ZXESRDN2,10
BXZFRTR3,ZXESRDN2,10
MXULRDN1,MXULRPS1,10
MXULRDN2,MXULRPS2,10
BITORTR1,POVIRDN2,10
LEFRRTR2,POVIRDN2,10
MXULRDN1,MXULRPS2,10
MXULRDN2,MXULRPS1,10
MXJCRTR3,SEECRDN2,10
SEECRTR2,SEECRDN2,10
BXGARDN1,BXGARPS2,10
BXGARDN2,BXGARPS2,10
BITORTR1,OXGIRDN2,10
ROU13-HSEV01,ROU14-HSEV01,10
MXJCRTR3,SEDRRDN2,10
SEECRTR2,SEDRRDN2,10
BITORTR1,ROU14-HVIZ01,10
LEFRRTR2,ROU14-HVIZ01,10
MXJCRTR3,MXPARDN4,10
BITORTR1,OXSIRAG2,10
LEFRRTR2,OXSIRAG2,10
BITORTR1,POMARAG2,10
MXFURDN1,MXMERTR3,10
MXFURDN2,MXJCRTR3,10
ROU13-HSEV01,SEECRTR2,10
MXFURDN1,MXFURPS2,10
MXFURDN2,MXFURPS1,10
MXFURPS1,MXFURPS2,10
MXULRPS1,MXULRPS2,10
MXFURDN1,MXFURPE6,10
MXFURDN2,MXFURPE7,10
MXFURDN1,MXFUTPE1,10
MXFURDN2,MXFUTPE2,10
MXMERDN7,MXMETPE1,10
MXMERDN8,MXMETPE2,10
MXJCRTR3,ZXPIRAG2,10
BXZFRTR3,ZXPIRAG2,10
MXJCRTR3,MXMERRR4,1
MXJCRTR3,MXMERRR5,1
MXJCRTR3,MXMERRR7,1
BXEURTR3,BXGARDN2,1
BXEURTR3,BXMTRAG2,10
BXZFRTR3,BXMTRAG2,10
BXEURTR3,VXQURDN2,10
BXGARDN1,BXZFRTR3,10
BXEURTR3,VXMFRDN2,10
BXEURTR3,VXMFRDN1,10
BXEURTR3,CSMORAG2,10
BXEURTR3,CSMORAG1,10
VXQURTR2,CSMORAG2,10
BXEURTR3,BXZFRDN4,10
BXEURTR3,VXARRDN2,10
VXQURTR2,VXARRDN2,10
BXEURTR3,VXARRDN1,10
BXEURTR3,GIESRDN2,10
BXZFRTR3,GIESRDN2,10
BXEURTR3,TXRRRAG2,10
BXEURTR3,TXRRRAG1,10
BXEURTR3,ROU14-HBAR02,10
BXEURTR3,GIADRDN2,10
BXZFRTR3,GIADRDN2,10
BITORTR1,LEFRRTR2,1
MXMERDN1,MXMERTR3,10
BXEURTR3,BXGARDN2,10
BXEURTR3,BXZFRTR3,1
BITORTR1,LXRORAG2,10
BITORTR1,LXRORAG1,10
BITORTR1,NAAYRAG2,10
BITORTR1,NAAYRAG1,10
BXEURTR3,BXZFRDN2,10
BXEURTR3,GIALRDN2,10
BXZFRTR3,GIALRDN2,10
BXEURTR3,ROU14-HBAR02,1
BXEURTR3,BXPERDN2,10
BXZFRTR3,BXPERDN2,10
BXEURTR3,BXPERDN1,10
BXZFRTR3,BXPERDN1,10
MXMERTR3,MXPARDN3,10
BXZFRTR3,GUMIRDN1,10
MXJCRTR3,GUMIRDN1,10
BXZFRTR3,ZXPIRAG1,10
MXJCRTR3,ZXPIRAG1,10
BXZFRTR3,ROU13-HBAR02,10
BXZFRTR3,ZXESRDN1,10
MXJCRTR3,ZXESRDN1,10
BXZFRTR3,ZXPIRDN1,10
MXJCRTR3,ZXPIRDN1,10
MXJCRTR3,MXPARDN2,10
